date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:52:39	178736/178736	---M--	200	added ('OK')	image/jpeg	etag:%222ba30-664daa85-3ed28276d5535639;;;%22	https://eduport.webestica.com/assets/images/event/08.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/event/08.jpg	(from https://eduport.webestica.com/blog-grid.html)
09:52:39	82071/82071	---M--	200	added ('OK')	image/jpeg	etag:%2214097-664daa85-cf8afc39d4b12c8d;;;%22	https://eduport.webestica.com/assets/images/event/09.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/event/09.jpg	(from https://eduport.webestica.com/blog-grid.html)
09:52:40	129766/129766	---M--	200	added ('OK')	image/jpeg	etag:%221fae6-664daa84-f214e1ad1a41d44e;;;%22	https://eduport.webestica.com/assets/images/event/07.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/event/07.jpg	(from https://eduport.webestica.com/blog-grid.html)
09:52:40	124438/124438	---M--	200	added ('OK')	image/jpeg	etag:%221e616-664daa83-c0ae78795a09d145;;;%22	https://eduport.webestica.com/assets/images/event/04.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/event/04.jpg	(from https://eduport.webestica.com/blog-grid.html)
09:52:41	108709/108709	---M--	200	added ('OK')	image/jpeg	etag:%221a8a5-664daa83-7d118217fcc811ff;;;%22	https://eduport.webestica.com/assets/images/event/05.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/event/05.jpg	(from https://eduport.webestica.com/blog-grid.html)
09:52:41	12329/12329	---M--	200	added ('OK')	image/png	etag:%223029-664daa98-e96473f4bda72824;;;%22	https://eduport.webestica.com/assets/images/pattern/03.png	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/pattern/03.png	(from https://eduport.webestica.com/blog-masonry.html)
09:52:41	96984/96984	---M--	200	added ('OK')	image/jpeg	etag:%2217ad8-664daa84-6fb94db65512631d;;;%22	https://eduport.webestica.com/assets/images/event/06.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/event/06.jpg	(from https://eduport.webestica.com/blog-grid.html)
09:52:41	92304/92304	---M--	200	added ('OK')	image/jpeg	etag:%2216890-664daa86-5be2da2be908bfdc;;;%22	https://eduport.webestica.com/assets/images/event/10.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/event/10.jpg	(from https://eduport.webestica.com/blog-detail.html)
09:52:42	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-66360cb2-4d2f05232bbb5a77;gz%22	https://eduport.webestica.com/docs/assets/images/favicon.ico	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/images/favicon.ico	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:42	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-66360d0c-2226f4a2c7c7821c;gz%22	https://eduport.webestica.com/docs/assets/vendor/font-awesome/css/all.min.css	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/vendor/font-awesome/css/all.min.css	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:42	88585/88585	---M-Z	200	added ('OK')	text/css	etag:%2215a09-66360cec-7ef18557ce19fd2a;gz%22	https://eduport.webestica.com/docs/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:42	543287/543287	---M-Z	200	added ('OK')	text/css	etag:%2284a37-66360caf-8469e6561da21828;gz%22	https://eduport.webestica.com/docs/assets/css/style.css	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/css/style.css	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:43	2829/2829	---M-Z	200	added ('OK')	text/css	etag:%22b0d-66360cae-21ad486dd62359c1;gz%22	https://eduport.webestica.com/docs/assets/css/doc.css	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/css/doc.css	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:43	2079/2079	---M-Z	200	added ('OK')	text/css	etag:%2281f-66360cae-44ceb6a5615b0a16;gz%22	https://eduport.webestica.com/docs/assets/css/prism.css	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/css/prism.css	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:43	5714/5714	---M-Z	200	added ('OK')	image/svg+xml	etag:%221652-66360cb4-aed677062d0b710b;gz%22	https://eduport.webestica.com/docs/assets/images/logo.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/images/logo.svg	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:43	5469/5469	---M-Z	200	added ('OK')	image/svg+xml	etag:%22155d-66360cb3-63e1f9ac3c10301c;gz%22	https://eduport.webestica.com/docs/assets/images/logo-light.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/images/logo-light.svg	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:44	25442/25442	---M--	200	added ('OK')	image/jpeg	etag:%226362-66360cbe-48f5b0b54d5958e4;;;%22	https://eduport.webestica.com/docs/assets/images/avatar/08.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/images/avatar/08.jpg	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:44	26090/26090	---M--	200	added ('OK')	image/jpeg	etag:%2265ea-66360cbc-699bdb525fc60f46;;;%22	https://eduport.webestica.com/docs/assets/images/avatar/02.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/images/avatar/02.jpg	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:44	31182/31182	---M--	200	added ('OK')	image/jpeg	etag:%2279ce-66360cbd-d3518109e996acc;;;%22	https://eduport.webestica.com/docs/assets/images/avatar/05.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/images/avatar/05.jpg	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
